Marca;Modelo;PVP;Descuento;Tanque prelavado (l);Tanque primer lavado (l);Tanque segundo lavado (l);Tanque lavado principal (l);Produccion(cestas-h);Consumo(l-h)
COLGED;T101CD;13250;10;0;0;0;60;120;150
COLGED;T102CD;21460;10;35;0;0;60;210;300
COLGED;T111CDT;16650;10;0;0;0;60;160;220
COLGED;T112CDT;24900;10;35;0;0;60;270;320
COLGED;T222CDT;29750;10;35;0;0;60;270;400
COMENDA;ACE;14370;10;0;0;0;80;100;220
COMENDA;ACE150 NEXT;23500;10;0;0;0;80;150;300
COMENDA;ACE135 DR NEXT;23500;10;0;0;0;94;150;200
COMENDA;ACE205 DR NEXT;30900;10;45;0;0;94;215;280
COMENDA;ACE225 DR NEXT;33600;10;80;0;0;94;250;300
